,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
(500) Days of Summer,7500000.0,86.0,Fox Searchlight,Romantic Comedy,500-Days-of-Summer,Live Action,PG-13,False,,Original Screenplay,2009-07-17 00:00:00,834501,30907,12,27,2009-07-24 00:00:00,1635772,19244,12,85,2009-07-31 00:00:00,2776891,10439,12,266,2009-08-07 00:00:00,3739702,4577,9,817,2009-08-14 00:00:00,2967462,2832,11,1048,1048.0,2009
"10,000 B.C.",105000000.0,,Warner Bros.,Adventure,10-000-B-C,Live Action,PG-13,True,109.0,Original Screenplay,2008-03-07 00:00:00,35867488,10518,1,3410,2008-03-14 00:00:00,16773312,4919,2,3410,2008-03-21 00:00:00,8934064,2587,5,3454,2008-03-28 00:00:00,4947174,1619,7,3055,2008-04-04 00:00:00,2797409,1198,10,2335,3454.0,2008
12 Rounds,20000000.0,29.0,20th Century Fox,Action,12-Rounds,Live Action,PG-13,True,,Original Screenplay,2009-03-27 00:00:00,5329240,2286,7,2331,2009-04-03 00:00:00,2260906,970,9,2331,2009-04-10 00:00:00,796632,877,14,908,2009-04-17 00:00:00,263198,644,19,409,2009-04-24 00:00:00,100484,451,32,223,2331.0,2009
12 Years a Slave,20000000.0,96.0,Fox Searchlight,Drama,Twelve-Years-a-Slave,Live Action,R,False,133.0,Based on Factual Book/Article,2013-10-18 00:00:00,923715,48617,16,19,2013-10-25 00:00:00,2134325,17352,8,123,2013-11-01 00:00:00,4792214,11688,7,410,2013-11-08 00:00:00,6675731,5835,7,1144,2013-11-15 00:00:00,4604706,3263,8,1411,1411.0,2013
127 Hours,18000000.0,93.0,Fox Searchlight,Drama,127-Hours,Live Action,R,False,93.0,Based on Real Life Events,2010-11-05 00:00:00,264851,66213,25,4,2010-11-12 00:00:00,438539,19934,19,22,2010-11-19 00:00:00,916533,8486,14,108,2010-11-26 00:00:00,1708883,5832,11,293,2010-12-03 00:00:00,1619138,3739,12,433,433.0,2010
13 Going On 30,30000000.0,64.0,Sony Pictures,Comedy,13-Going-On-30,Live Action,PG-13,True,98.0,Original Screenplay,2004-04-23 00:00:00,21054238,6124,2,3438,2004-04-30 00:00:00,9876246,2860,3,3453,2004-05-07 00:00:00,5816841,1842,5,3158,2004-05-14 00:00:00,4107023,1546,6,2656,2004-05-21 00:00:00,2512234,1239,7,2028,3453.0,2004
1408,22500000.0,79.0,MGM,Horror,1408,Live Action,R,True,104.0,Based on Fiction Book/Short Story,2007-06-22 00:00:00,20617667,7699,2,2678,2007-06-29 00:00:00,10662804,3902,4,2733,2007-07-06 00:00:00,7088979,2694,6,2631,2007-07-13 00:00:00,4934516,2237,6,2206,2007-07-20 00:00:00,2621194,1806,8,1451,2733.0,2007
16 Blocks,45000000.0,55.0,Warner Bros.,Action,16-Blocks,Live Action,PG-13,True,105.0,Original Screenplay,2006-03-03 00:00:00,11855260,4381,2,2706,2006-03-10 00:00:00,7411016,2739,4,2706,2006-03-17 00:00:00,4755012,1784,6,2666,2006-03-24 00:00:00,2160379,1046,10,2066,2006-03-31 00:00:00,707401,702,15,1007,2706.0,2006
17 Again,40000000.0,55.0,Warner Bros.,Comedy,Seventeen,Live Action,PG-13,True,,Original Screenplay,2009-04-17 00:00:00,23722310,7288,1,3255,2009-04-24 00:00:00,11518495,3539,2,3255,2009-05-01 00:00:00,6361358,1954,4,3255,2009-05-08 00:00:00,4232422,1458,5,2903,2009-05-15 00:00:00,3368189,1375,6,2450,3255.0,2009
2 Fast 2 Furious,76000000.0,36.0,Universal,Action,2-Fast-2-Furious,Live Action,PG-13,True,107.0,Based on Factual Book/Article,2003-06-06 00:00:00,50472480,14810,1,3408,2003-06-13 00:00:00,18679370,5465,2,3418,2003-06-20 00:00:00,11099835,3535,3,3140,2003-06-27 00:00:00,6225570,2210,5,2817,2003-07-04 00:00:00,2641820,1485,10,1779,3418.0,2003
